Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,arrive_time,estimate_meal_prepare_time,order_push_time,platform_order_time,platform_order_date,sender_h3,recipient_h3,grab_h3,hex_distance,normalized_distance
2973,20221024,2971,2973,1943,5,1,0,1666594234,0,85,174.567126,45.893022,174.5646,45.874257,174.564515,45.895701,1666592418,1666592439,1666592710,1666593530,1666592375,1666592375,1666592352,2022-10-24 14:19:12,8d329b58eb4063f,8d329b58c8a52bf,8d329b58ea419bf,323,0.2399702823179792
2974,20221024,2972,2974,786,8,1,0,1666594375,0,209,174.569034,45.907357,174.589077,45.90236,174.566045,45.909694,1666592638,1666592675,1666592946,1666594009,1666593177,1666592578,1666592574,2022-10-24 14:22:54,8d329b58e2898bf,8d329b58e571d3f,8d329b58a97017f,240,0.17830609212481427
2975,20221024,2973,2975,823,19,1,0,1666594392,0,1516,174.551717,45.890782,174.550899,45.887763,174.551898,45.890879,1666592628,1666592638,1666592871,1666593023,1666593322,1666592603,1666592578,2022-10-24 14:22:58,8d329b5889307bf,8d329b58c2aa03f,8d329b588932bbf,52,0.03863298662704309
2976,20221024,2974,2976,1944,8,1,0,1666594716,0,1517,174.587952,45.901498,174.588994,45.91428,174.590128,45.902453,1666592928,1666592953,1666593385,1666593821,1666593516,1666592916,1666592906,2022-10-24 14:28:26,8d329b58e56087f,8d329b59da00aff,8d329b58e5760ff,219,0.16270430906389302
2977,20221024,2975,2977,1254,7,1,0,1666595781,0,425,174.579593,45.85633,174.594321,45.860101,174.582695,45.854932,1666594008,1666594034,1666594812,1666595312,1666594762,1666593982,1666593969,2022-10-24 14:46:09,8d329b5aa89a0ff,8d329b58535ddbf,8d329b5aad4847f,185,0.137444279346211
2979,20221024,2977,2979,1946,12,1,0,1666595544,0,443,174.545778,45.889637,174.550467,45.892969,174.546022,45.895311,1666594068,1666594086,1666594840,1666595652,1666594406,1666593746,1666593735,2022-10-24 14:42:15,8d329b5889649bf,8d329b5889a987f,8d329b58880b7bf,75,0.05572065378900446
2980,20221024,2978,2980,1689,14,1,0,1666596978,0,825,174.578231,45.890111,174.594566,45.887093,174.584705,45.886433,1666595307,1666595318,1666595927,1666596300,1666596139,1666595119,1666595111,2022-10-24 15:05:11,8d329b58e95d0ff,8d329b58163583f,8d329b58128e73f,185,0.137444279346211
2981,20221024,2979,2981,1947,3,1,0,1666598498,0,1066,174.531133,45.905887,174.523716,45.918876,174.530279,45.90597,1666596500,1666596504,1666597138,1666597677,1666596338,1666596338,1666596315,2022-10-24 15:25:15,8d329b588275a3f,8d329b58ba323bf,8d329b588263dbf,213,0.15824665676077265
2982,20221024,2980,2982,1066,15,1,0,1666599201,0,794,174.54576,45.8763,174.54058,45.86129,174.557486,45.885837,1666597488,1666597506,1666597886,1666598673,1666597162,1666597163,1666597153,2022-10-24 15:39:13,8d329b58ca630bf,8d329b5ab152abf,8d329b58c0ca77f,261,0.19390787518573552
2984,20221024,2982,2984,1948,9,1,0,1666600119,0,1194,174.576545,45.898962,174.574245,45.868793,174.568325,45.898806,1666598038,1666598060,1666598343,1666599534,1666597721,1666597721,1666597710,2022-10-24 15:48:30,8d329b58e15997f,8d329b5aa60483f,8d329b58eac28bf,517,0.38410104011887075
2985,20221024,2983,2985,1949,9,1,0,1666599612,0,1247,174.599766,45.883871,174.583326,45.877655,174.596841,45.880881,1666598068,1666598074,1666598269,1666598691,1666598113,1666597813,1666597810,2022-10-24 15:50:10,8d329b581463b7f,8d329b581ad58ff,8d329b5810a117f,221,0.16419019316493313
2986,20221024,2984,2986,1950,15,1,0,1666600352,0,251,174.545592,45.876917,174.534328,45.888367,174.545167,45.870252,1666598478,1666598521,1666599162,1666599900,1666599153,1666598373,1666598371,2022-10-24 15:59:31,8d329b58ca40b3f,8d329b58d475d3f,8d329b5ab7a077f,220,0.16344725111441308
2988,20221024,2986,2988,1951,20,1,0,1666600274,0,1520,174.536219,45.867126,174.542795,45.870176,174.53911,45.870996,1666598478,1666598492,1666598943,1666599225,1666599374,1666598474,1666598472,2022-10-24 16:01:12,8d329b5ab39073f,8d329b5ab71ad3f,8d329b5ab62e27f,92,0.06835066864784546
2990,20221024,2988,2990,1953,7,1,0,1666600855,0,1521,174.552733,45.845636,174.561762,45.841452,174.551852,45.850731,1666598938,1666598948,1666600330,1666600770,1666600077,1666598517,1666598493,2022-10-24 16:01:33,8d329b5a80ca8bf,8d329b5a8186cbf,8d329b5a867203f,127,0.09435364041604755
2991,20221024,2989,2991,1954,0,1,0,1666600497,0,78,174.55456,45.851375,174.554726,45.839147,174.550195,45.850088,1666599078,1666599083,1666599236,1666599672,1666599717,1666598697,1666598686,2022-10-24 16:04:46,8d329b5a861c33f,8d329b5a817347f,8d329b5a866223f,208,0.15453194650817237
2992,20221024,2990,2992,1122,5,1,0,1666600523,0,1320,174.568358,45.895471,174.586293,45.894639,174.556896,45.895711,1666598808,1666598820,1666599834,1666600438,1666599565,1666598726,1666598722,2022-10-24 16:05:22,8d329b58ea0cb3f,8d329b58e8b26ff,8d329b588d7547f,186,0.13818722139673106
2994,20221024,2992,2994,1955,0,1,0,1666601786,0,1522,174.558161,45.863081,174.580323,45.880568,174.557892,45.868665,1666599588,1666599629,1666599939,1666600823,1666598787,1666599558,1666598175,2022-10-24 15:56:15,8d329b5abc9253f,8d329b58134047f,8d329b5ab59387f,363,0.26968796433878156
2996,20221024,2994,2996,1957,9,1,0,1666601608,0,878,174.589647,45.894814,174.565554,45.887285,174.566321,45.894183,1666599898,1666599905,1666600355,1666600911,1666599518,1666599518,1666599506,2022-10-24 16:18:26,8d329b58ed51b7f,8d329b58c44123f,8d329b58eb590bf,313,0.2325408618127786
2997,20221024,2995,2997,1066,15,1,0,1666602446,0,794,174.54576,45.8763,174.555864,45.889871,174.546055,45.8753,1666600548,1666600552,1666600696,1666601735,1666600346,1666600346,1666600345,2022-10-24 16:32:25,8d329b58ca630bf,8d329b58c675abf,8d329b58ca64a3f,243,0.18053491827637444
2998,20221024,2996,2998,1370,0,1,0,1666602261,0,78,174.55456,45.851375,174.53993,45.853558,174.547923,45.848388,1666600848,1666600858,1666601348,1666602095,1666601481,1666600461,1666600449,2022-10-24 16:34:09,8d329b5a861c33f,8d329b5ab874abf,8d329b5a8295b7f,160,0.1188707280832095
2999,20221024,2997,2999,203,9,1,0,1666602660,0,602,174.64805,45.879237,174.644254,45.871007,174.648535,45.879699,1666600948,1666600954,1666602400,1666602678,1666601940,1666600860,1666600842,2022-10-24 16:40:42,8d329b58620947f,8d329b580d168bf,8d329b5862e4b3f,144,0.10698365527488855
3000,20221024,2998,3000,1658,13,1,0,1666603811,0,658,174.572525,45.890444,174.590047,45.885756,174.568478,45.892836,1666601338,1666601342,1666601665,1666604870,1666600940,1666600940,1666600937,2022-10-24 16:42:17,8d329b58c48a33f,8d329b581743b3f,8d329b58eb730ff,212,0.1575037147102526
3002,20221024,3000,3002,1455,7,1,0,1666603189,0,1408,174.574903,45.869057,174.565836,45.874848,174.581884,45.862836,1666601418,1666601453,1666602069,1666603032,1666602050,1666601390,1666601384,2022-10-24 16:49:44,8d329b5aa63163f,8d329b58c8a2cff,8d329b5aa56a7bf,143,0.1062407132243685
3003,20221024,3001,3003,1542,5,1,0,1666602772,0,79,174.555818,45.89562,174.542411,45.896151,174.559186,45.895542,1666601869,1666601872,1666602178,1666602821,1666600974,1666600975,1666600962,2022-10-24 16:42:42,8d329b588d62aff,8d329b58885b33f,8d329b588d2e2ff,139,0.10326894502228826
6214,20221024,6200,6214,1772,9,1,0,1666593561,0,2093,174.650308,45.875146,174.637628,45.86161,174.65011,45.874838,1666592128,1666592132,1666592198,1666592787,1666592602,1666591980,1666591708,2022-10-24 14:08:28,8d329b58632baff,8d329b58476ad7f,8d329b58632907f,246,0.1827637444279346
6215,20221024,6201,6215,386,2,1,0,1666594444,0,455,174.55621,45.86644,174.524998,45.866628,174.5564,45.866597,1666592238,1666592249,1666592403,1666595440,1666592044,1666592044,1666592042,2022-10-24 14:14:02,8d329b5ab5a117f,8d329b5ab24553f,8d329b5ab5a147f,332,0.24665676077265974
6216,20221024,6202,6216,1123,3,1,0,1666594154,0,1066,174.531133,45.905887,174.536075,45.900171,174.530553,45.90601,1666592361,1666592371,1666592712,1666593164,1666593074,1666592354,1666592349,2022-10-24 14:19:09,8d329b588275a3f,8d329b588af0d3f,8d329b58826207f,103,0.07652303120356613
6217,20221024,6203,6217,2909,11,1,0,1666594400,0,1315,174.545232,45.885216,174.549654,45.888721,174.537808,45.885813,1666592628,1666592647,1666593044,1666593441,1666593260,1666592600,1666592595,2022-10-24 14:23:15,8d329b58c271abf,8d329b58c28903f,8d329b58d52b03f,72,0.05349182763744428
